user_id,intent_score,recency,frequency,monetary,treatment,conversion,user_type
0,0.16387150881699034,11.15048579096002,4,60.85559200777655,1,1,sure_thing
1,0.31045541643999996,71.0883359977468,2,181.66200822945527,0,0,persuadable
2,0.27041943778265265,5.153313497288854,7,31.04833106137147,1,1,persuadable
3,0.41730123340752084,38.921111785761184,2,136.2195416511812,0,0,lost_cause
4,0.30759276507314587,84.56327300740725,3,40.640664327833775,0,0,persuadable
5,0.39605376908846784,0.20886391442897032,2,226.10072731956348,1,0,lost_cause
6,0.2144426377826086,35.712643993047045,3,24.20893770468763,1,0,lost_cause
7,0.1907391836647658,2.787165529706392,3,87.06441332246455,0,0,lost_cause
8,0.2800547348099123,0.011888357889482233,1,147.08839507397602,0,0,lost_cause
9,0.8317796743632778,22.223562163528086,4,94.23334491405424,1,1,sure_thing
10,0.2451239694028845,15.772685543123087,2,141.5128759774963,1,1,sure_thing
11,0.36750290775423017,20.284573525875608,0,217.14152253136484,0,1,sure_thing
12,0.43874043516042427,9.274184642699431,3,43.09746140810298,0,1,sure_thing
13,0.151988324079265,19.40390980667198,1,34.34551980543012,0,0,lost_cause
14,0.3145751878085241,70.24633119186512,3,56.54917634140328,0,0,lost_cause
15,0.39100828877596877,14.054722107439295,4,140.81179083383097,0,1,sure_thing
16,0.6465775790875302,21.41195685323022,2,156.66612483969652,1,1,sure_thing
17,0.394666928943128,9.61185400528127,4,20.452373760431293,1,0,lost_cause
18,0.4260340884988137,52.64205039999889,2,152.84797522255633,0,0,persuadable
19,0.43165691091493386,5.544719940621422,4,29.403917751857104,0,1,sure_thing
20,0.6466466963762741,17.15798268777303,8,165.40866341448083,0,0,lost_cause
21,0.49138886209938737,38.75656100744326,4,233.14796577867233,1,0,lost_cause
22,0.6882341888764937,14.910648046120311,3,149.22547013354932,0,1,sure_thing
23,0.36801174893055083,84.59334407929983,5,120.35269847737855,0,0,persuadable
24,0.6507548426142387,31.89688702829374,2,107.33111324737877,1,1,persuadable
25,0.5955139711105047,22.93558171515328,4,70.60642664547927,0,1,sure_thing
26,0.5328077357261021,4.380548959161152,3,92.5878207807091,1,0,lost_cause
27,0.31274190468694124,35.22727823332754,3,119.92898076515566,1,0,lost_cause
28,0.4180156593354374,24.574060924370386,4,61.13924933706454,0,0,lost_cause
29,0.6364084577316895,4.6917515513740025,3,82.43891219159542,0,0,persuadable
30,0.5720405310616965,32.57184880770477,2,161.96553806959258,1,0,lost_cause
31,0.32954091250590023,5.542987830074939,2,156.9954625192149,0,1,sure_thing
32,0.47812176913191323,30.762943790613956,2,157.2765637956084,0,1,sure_thing
33,0.42077576565969443,104.9356183820553,1,110.44978204685354,1,0,lost_cause
34,0.34841310869114495,2.969296235487155,5,81.89751602056471,1,1,sure_thing
35,0.0663478720068051,11.723943865239056,4,39.96698193254326,1,0,lost_cause
36,0.436546226814262,6.096493283364724,2,92.8342888226469,0,0,persuadable
37,0.39087668693217054,36.343110171256505,3,287.5457258296244,0,1,sure_thing
38,0.05425675269556498,34.310876375676806,1,147.45025653002972,0,0,persuadable
39,0.5663469040459662,36.78648833815773,3,84.71969875227725,0,0,lost_cause
40,0.42540255136037314,30.66529756127867,3,28.473235288776593,1,1,sure_thing
41,0.26759521340113757,0.7746653594806513,2,62.55179761434878,0,1,sure_thing
42,0.8208032314210861,24.77102840823395,1,197.58714291036648,0,1,sure_thing
43,0.5836219795799926,1.7823285171527732,2,175.6427496388521,0,1,sure_thing
44,0.10305887965237286,90.1771744454119,5,63.630133209187214,0,0,lost_cause
45,0.6714311683368889,2.437420277536627,2,22.439715776938655,0,0,lost_cause
46,0.45577700516822917,78.41611054576728,3,59.85587379336981,1,0,lost_cause
47,0.35380187436392735,3.6345840149368587,5,61.58096808629973,0,0,lost_cause
48,0.44120787663481514,9.307392499289783,1,10.089872948870958,1,1,sure_thing
49,0.11887961280045718,7.010471069422098,2,145.34558813730123,0,0,lost_cause
50,0.24189386054527617,12.774480337534452,1,271.4060109665085,0,0,lost_cause
51,0.2791490818513666,62.37029544866732,5,105.39768433755204,1,0,lost_cause
52,0.3635110224899748,10.307747032299584,4,42.38095951602306,1,1,sure_thing
53,0.3080903285907091,22.051123996534507,5,150.0225648173104,0,1,sure_thing
54,0.38932550085554113,8.773700535144313,8,108.6104641164087,0,1,sure_thing
55,0.5168806279953698,4.496377704242472,4,116.48956921886872,1,1,sure_thing
56,0.4775067844498941,18.070080042813903,1,222.77263472420552,1,1,sure_thing
57,0.021945408198327333,42.72943174471784,3,213.67757800231018,0,0,lost_cause
58,0.48705465381922003,7.0635615119346244,1,67.31414456813538,0,1,sure_thing
59,0.5710996513296783,11.013893980814592,3,50.898871812500346,0,1,sure_thing
60,0.6726601743451468,7.281262486351467,3,100.62571174687345,1,0,lost_cause
61,0.5313755360466188,32.429485582686674,2,36.2730397461149,1,0,lost_cause
62,0.2924949130694071,15.652527444161192,5,69.8290601352194,0,1,sure_thing
63,0.2644022474698317,9.408205217509947,4,32.34418012019699,0,0,persuadable
64,0.7238268473739108,176.8301265585329,5,231.3102850386877,0,0,persuadable
65,0.055995381173231516,47.216240676131925,0,99.09471247781515,1,0,lost_cause
66,0.5416837346654938,13.042590412420617,2,60.314451247048225,1,1,persuadable
67,0.45285685751975835,47.10012865143388,2,61.088312954271984,1,1,persuadable
68,0.4729413782634205,116.28565980093096,7,78.86458470600314,1,0,sleeping_dog
69,0.28067500681283963,2.0673518816011005,3,12.795689418556524,0,0,lost_cause
70,0.30582098048740286,19.21148727532756,2,59.56283635593086,1,1,sure_thing
71,0.4480902656425281,11.638086864339185,4,44.53300386653015,0,0,persuadable
72,0.6714942937944227,34.104865628705035,1,47.85262735013677,0,0,lost_cause
73,0.03268501001871712,79.68308250761348,4,321.6964014069906,0,0,lost_cause
74,0.43345669261494546,33.29974379185364,3,22.975916735925157,1,1,sure_thing
75,0.5964017244586718,47.80113873779081,3,88.25266746766158,0,1,sleeping_dog
76,0.034173544411647945,32.09718606527847,1,103.18589582171882,0,0,lost_cause
77,0.4077176790486731,44.92902187005123,2,50.850127748465354,1,1,sure_thing
78,0.03852350691745796,29.4039665427955,6,77.5715885886678,1,0,lost_cause
79,0.014590507930050352,4.422766195726125,4,148.18465508022481,0,0,lost_cause
80,0.230014077092448,26.520234231835413,4,24.07889079202785,0,0,lost_cause
81,0.24465389602731027,0.5428259685147458,3,36.98869552925698,1,1,sure_thing
82,0.30057255906566704,0.7365137522176216,3,31.348875350875904,0,0,lost_cause
83,0.5531640530542523,55.59865989288825,0,135.7828288101041,0,0,persuadable
84,0.7982038259445342,0.34602534808231283,4,136.54971125294807,0,0,persuadable
85,0.6897363338180645,6.54740578567471,1,47.462245324377236,0,0,lost_cause
86,0.22564417900149444,1.0978403950466449,7,180.78112280857238,1,0,lost_cause
87,0.5335830809921376,41.199170588136155,7,154.47352742488718,1,0,lost_cause
88,0.5462543518967987,5.4012824570231865,4,63.905161122212796,0,1,sure_thing
89,0.8051753562335638,11.336982834665124,1,61.1447209197052,1,1,sure_thing
90,0.2928225387514057,15.239889374097325,7,190.24645371315793,1,1,persuadable
91,0.38194899483069766,9.187640622120417,0,127.91747912704363,1,0,lost_cause
92,0.3249058865748349,6.870706702891612,2,208.84280166901922,0,0,persuadable
93,0.42087774177185744,7.258702568745176,1,215.83779282121972,0,0,persuadable
94,0.286740433152631,49.41723132095159,1,92.5632831611508,1,1,sure_thing
95,0.43167695371968073,41.102934447662925,3,28.22696546520656,1,0,lost_cause
96,0.09186437309757564,50.94953267310633,5,112.22696909315766,0,0,persuadable
97,0.2451433665413044,43.65835129104043,3,108.02925066029331,0,0,persuadable
98,0.34131045297126017,3.7092054745882117,1,14.620832830012324,0,0,lost_cause
